entity_name,project_name,funding_round
1025 Columbus LLC,Bayside Haven Rehabilitation Center,Bond BHCIP Round 2: Unmet Needs
439 S 4th St LLC,Crisis Residential/CRTS/SRP,Bond BHCIP Round 1: Launch Ready
44049 Sierra Hwy Propco LLC,Behavioral Sciences Academy of Lancaster,Bond BHCIP Round 1: Launch Ready
"A.B.C. Recovery Center, Inc.",Substance-Use and Mental Health Expansion Indio California,BHCIP Round 3: Launch Ready
Agapao Fellowship,Agapao Fellowship MHRC,Bond BHCIP Round 1: Launch Ready
Alameda County Behavioral Health Care Services,Alameda,BHCIP Round 1: Crisis Care Mobile Units
Alameda Health System,San Leandro Hospital - Behavioral Health Expansion,Bond BHCIP Round 1: Launch Ready
Alameda Health System,St. Rose Hospital - Behavioral Health Expansion,Bond BHCIP Round 1: Launch Ready
All For Kids Organization,Operation Oakwood,BHCIP Round 5: Crisis and Behavioral Health Continuum
Amador County Behavioral Health,Amador,BHCIP Round 1: Crisis Care Mobile Units
American Indian Council of Mariposa,Mariposa,BHCIP Round 2: County & Tribal Planning Grants
American Indian Health and Services,Santa Barbara,BHCIP Round 2: County & Tribal Planning Grants
Archway Recovery Services,ARS Expansion,BHCIP Round 3: Launch Ready
"Asian American Drug Abuse Program, Inc. (AADAP)",Crenshaw Withdrawal Management Center (Crenshaw WMC),Bond BHCIP Round 1: Launch Ready
Aspiranet,Central Valley Continuum of Care for Youth and Families,BHCIP Round 3: Launch Ready
Aspiranet,Central Valley TAY Independence Program,BHCIP Round 4: Children and Youth
Bakersfield American Indian Health Project,BAIHP - Kern River Valley Mental Health Urgent Care,Bond BHCIP Round 2: Unmet Needs
Bakersfield American Indian Health Project,BAIHP- Mental Health Urgent Care,Bond BHCIP Round 1: Launch Ready
Bakersfield American Indian Health Project,Kern,BHCIP Round 2: County & Tribal Planning Grants
"Bakersfield American Indian Health Project, Inc.",BHCIP Community Wellness Treatment Center,BHCIP Round 5: Crisis and Behavioral Health Continuum
"Bakersfield Recovery Services, Inc.",Retreat,Bond BHCIP Round 2: Unmet Needs
Bartz-Altadonna Community Health Center,The Bridge at BACHC,Bond BHCIP Round 2: Unmet Needs
Bay Area Community Services Housing Corporation,St. Regis,BHCIP Round 5: Crisis and Behavioral Health Continuum
Bay Area Community Services Housing Corporation,Waypoint Mental Health Rehabilitation Center (MHRC),Bond BHCIP Round 1: Launch Ready
Beach Cities Health District,allcove Beach Cities,BHCIP Round 4: Children and Youth
Behavioral Health Services Department of Health Services Social Services Agency County of Sacramento,CSU/PHF - Sac County,BHCIP Round 4: Children and Youth
Bi-Bett,Bi-Bett Infrastructure Expansion Initiative at Frederick Ozanam Center (IEI-OZ),Bond BHCIP Round 1: Launch Ready
Big Lagoon Rancheria,Humboldt,BHCIP Round 1: Crisis Care Mobile Units
Blue Lake Rancheria,Humboldt,BHCIP Round 1: Crisis Care Mobile Units
Bricks Behavioral Health Foundation,CRI-Help Arcadia,Bond BHCIP Round 1: Launch Ready
Butte County Department of Behavioral Health,Chico Community Counseling Center & Stepping Stones Expansion,BHCIP Round 4: Children and Youth
Butte County Dept Of Behavioral Health,Butte,BHCIP Round 1: Crisis Care Mobile Units
"Butte County, Department of Behavioral Health",Butte,BHCIP Round 2: County & Tribal Planning Grants
Butterfly's Haven,Haven of Hope,Bond BHCIP Round 1: Launch Ready
"CRI-Help, Inc.",DHCS Licensed Integral Facility for Low Income and / or Minority Women with SUDS in the San Fernando Valley,BHCIP Round 3: Launch Ready
"CRI-Help, Inc.",Lincoln Heights Recovery Campus (LHRC) Expansion for Women and Children,Bond BHCIP Round 2: Unmet Needs
"CRI-Help, Inc.",SUD Crisis Management Hub:  A Fully Integrated Behavioral Health Campus,BHCIP Round 5: Crisis and Behavioral Health Continuum
Calaveras County Behavioral Health,Calaveras County BHS Integrated Service Site,BHCIP Round 4: Children and Youth
Casa Pacifica Centers for Children & Families,Casa Pacifica Short Term Residential Therapeutic Program,BHCIP Round 4: Children and Youth
Casa de Amparo,Casa de Amparo PRTF,Bond BHCIP Round 1: Launch Ready
